,SK_ID_CURR
0,100001
1,100005
2,100028
3,100038
4,100042
5,100057
6,100065
7,100066
8,100067
9,100074
10,100090
11,100091
12,100092
13,100106
14,100107
15,100109
16,100117
17,100128
18,100141
19,100150
20,100168
21,100169
22,100170
23,100171
24,100172
25,100184
26,100187
27,100212
28,100222
29,100223
30,100232
31,100241
32,100245
33,100253
34,100256
35,100271
36,100278
37,100280
38,100306
39,100311
40,100312
41,100330
42,100331
43,100352
44,100358
45,100367
46,100382
47,100384
48,100385
49,100386
50,100399
51,100404
52,100416
53,100422
54,100426
55,100438
56,100444
57,100445
58,100446
59,100447
60,100450
61,100466
62,100483
63,100484
64,100494
65,100510
66,100512
67,100517
68,100548
69,100551
70,100552
71,100553
72,100561
73,100568
74,100569
75,100591
76,100592
77,100602
78,100607
79,100613
80,100617
81,100618
82,100622
83,100625
84,100677
85,100699
86,100702
87,100711
88,100729
89,100740
90,100744
91,100747
92,100751
93,100752
94,100753
95,100754
96,100760
97,100762
98,100763
99,100765
100,100770
101,100772
102,100777
103,100791
104,100792
105,100797
106,100823
107,100826
108,100830
109,100836
110,100872
111,100910
112,100913
113,100918
114,100931
115,100952
116,100953
117,100965
118,100970
119,100982
120,100983
121,100984
122,100987
123,100997
124,100998
125,101002
126,101005
127,101008
128,101020
129,101021
130,101025
131,101026
132,101031
133,101041
134,101051
135,101055
136,101056
137,101057
138,101064
139,101079
140,101087
141,101090
142,101092
143,101097
144,101099
145,101107
146,101118
147,101125
148,101126
149,101128
150,101136
151,101140
152,101149
153,101160
154,101169
155,101181
156,101186
157,101190
158,101193
159,101194
160,101198
161,101200
162,101204
163,101211
164,101213
165,101223
166,101225
167,101237
168,101243
169,101244
170,101258
171,101259
172,101268
173,101269
174,101271
175,101279
176,101281
177,101287
178,101292
179,101294
180,101296
181,101297
182,101299
183,101301
184,101305
185,101308
186,101318
187,101327
188,101329
189,101332
190,101337
191,101343
192,101345
193,101346
194,101353
195,101354
196,101355
197,101356
198,101362
199,101363
200,101365
201,101366
202,101367
203,101368
204,101374
205,101380
206,101383
207,101398
208,101399
209,101401
210,101412
211,101426
212,101427
213,101428
214,101429
215,101434
216,101440
217,101448
218,101449
219,101465
220,101467
221,101472
222,101478
223,101497
224,101547
225,101548
226,101555
227,101570
228,101572
229,101578
230,101580
231,101588
232,101602
233,101610
234,101614
235,101616
236,101643
237,101644
238,101649
239,101650
240,101665
241,101667
242,101669
243,101674
244,101675
245,101678
246,101682
247,101686
248,101697
249,101700
250,101711
251,101714
252,101715
253,101728
254,101732
255,101757
256,101758
257,101759
258,101762
259,101764
260,101780
261,101784
262,101789
263,101816
264,101819
265,101827
266,101863
267,101867
268,101870
269,101873
270,101878
271,101879
272,101880
273,101887
274,101897
275,101901
276,101903
